Neighborhood,Borough,Date,Longitude,Latitude,Type,Median_Rent
Astoria,Queens,2012-01-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2500
Astoria,Queens,2012-02-01,-73.91565374304234,40.76850859335492,One_Bedroom,1795
Astoria,Queens,2012-02-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2450
Astoria,Queens,2012-02-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3000
Astoria,Queens,2012-03-01,-73.91565374304234,40.76850859335492,One_Bedroom,1800
Astoria,Queens,2012-03-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2225
Astoria,Queens,2012-03-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2850
Astoria,Queens,2012-04-01,-73.91565374304234,40.76850859335492,One_Bedroom,1850
Astoria,Queens,2012-04-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2250
Astoria,Queens,2012-04-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2975
Astoria,Queens,2012-05-01,-73.91565374304234,40.76850859335492,Studio,1675
Astoria,Queens,2012-05-01,-73.91565374304234,40.76850859335492,One_Bedroom,1800
Astoria,Queens,2012-05-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2500
Astoria,Queens,2012-05-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,2500
Astoria,Queens,2012-06-01,-73.91565374304234,40.76850859335492,Studio,1400
Astoria,Queens,2012-06-01,-73.91565374304234,40.76850859335492,One_Bedroom,1700
Astoria,Queens,2012-06-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2500
Astoria,Queens,2012-06-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3300
Astoria,Queens,2012-07-01,-73.91565374304234,40.76850859335492,Studio,1400
Astoria,Queens,2012-07-01,-73.91565374304234,40.76850859335492,One_Bedroom,1998
Astoria,Queens,2012-07-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2500
Astoria,Queens,2012-07-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3275
Astoria,Queens,2012-08-01,-73.91565374304234,40.76850859335492,Studio,1463
Astoria,Queens,2012-08-01,-73.91565374304234,40.76850859335492,One_Bedroom,2000
Astoria,Queens,2012-08-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2500
Astoria,Queens,2012-08-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3275
Astoria,Queens,2012-09-01,-73.91565374304234,40.76850859335492,Studio,1825
Astoria,Queens,2012-09-01,-73.91565374304234,40.76850859335492,One_Bedroom,2138
